Date,momentum3close,momentum4close,momentum5close,momentum6close,momentum7close,momentum8close,momentum9close,momentum10close,stoch3K,stoch3D,stoch4K,stoch4D,stoch5K,stoch5D,stoch6K,stoch6D,stoch7K,stoch7D,stoch8K,stoch8D,stoch9K,stoch9D,stoch10K,stoch10D,will6R,will7R,will8R,will9R,will10R,proc12close,proc13close,proc14close,proc15close,wadl15close,adosc2AD,macd45,cci15close,bollinger15upper,bollinger15mid,bollinger15lower,paverage2open,paverage2high,paverage2low,paverage2close,slope3high,slope4high,slope5high,slope10high,slope20high,slope30high,open,high,low,close,difference,status
3/1/2018 4:00,-0.00022,-0.00084,-0.00107,-0.00067,-0.00079,-0.00082,-0.00025,0.00064,40.36697248,2.946184886,36.51452282,1.662035001,36.51452282,1.662035001,36.51452282,14.54082288,36.51452282,18.18598493,36.51452282,20.46549668,37.29508197,21.36502732,38.8,33.81612635,-63.48547718,-63.48547718,-63.48547718,-62.70491803,-61.2,0.000149386,0.000539661,0.001013382,-0.000547368,-20.0546251,79687.59558,0.000251026,0.048280179,1.206563739,1.205115333,1.203666928,1.20447,1.205095,1.20444,1.2049,-0.00078,-0.000586,-0.000476,-2.85E-06,-4.85E-05,0.000161471,1.20468,1.20539,1.20468,1.20511,0,0
3/1/2018 5:00,0.00158,0.00051,-0.00011,-0.00034,6.00E-05,-6.00E-05,-9.00E-05,0.00048,75.92592593,42.14371575,74.2081448,40.28697216,67.21311475,37.95529547,67.21311475,37.95529547,67.21311475,39.77068439,67.21311475,41.26986826,67.21311475,42.16939891,67.21311475,42.67103825,-32.78688525,-32.78688525,-32.78688525,-32.78688525,-32.78688525,0.001120806,0.000755231,0.001145742,0.001619749,-16.2999421,87625.22434,0.000271661,0.044051821,1.206566888,1.205245333,1.203923779,1.20489,1.20567,1.20481,1.205475,3.00E-05,-0.000344,-0.00036,-8.52E-05,-7.77E-05,0.000144323,1.2051,1.20595,1.20494,1.20584,0.00073,1
3/1/2018 6:00,-0.00016,0.00027,-0.0008,-0.00142,-0.00165,-0.00125,-0.00137,-0.0014,27.73109244,48.00799695,15.27777778,42.00014847,14.9321267,39.55325476,13.52459016,39.08407591,13.52459016,39.08407591,13.52459016,39.08407591,13.52459016,39.3442623,13.52459016,39.84590164,-86.47540984,-86.47540984,-86.47540984,-86.47540984,-86.47540984,4.98E-05,3.32E-05,-0.000331969,5.81E-05,-25.7209816,84918.17585,0.000215536,0.043670483,1.206560114,1.20525,1.203939886,1.205475,1.206015,1.20469,1.205185,0.000575,0.000245,-7.60E-05,-0.000115091,-6.37E-05,0.000128331,1.20585,1.20608,1.20444,1.20453,-0.00131,0
3/1/2018 7:00,-0.00118,-0.00076,-0.00033,-0.0014,-0.00202,-0.00225,-0.00185,-0.00197,-15.42857143,29.40948231,-15.42857143,24.68578372,-12.5,23.21508048,-12.21719457,22.84017012,-11.06557377,23.22404372,-11.06557377,23.22404372,-11.06557377,23.22404372,-11.06557377,23.22404372,-112.2171946,-111.0655738,-111.0655738,-111.0655738,-111.0655738,-0.001186368,-0.00044833,-0.000464927,-0.000829924,-37.3731133,59246.97184,0.000135362,0.049056926,1.206655041,1.205183333,1.203711626,1.20518,1.2055,1.203955,1.20423,0.000345,0.00044,0.000265,-9.81E-05,-2.96E-05,0.00011242,1.20451,1.20492,1.20347,1.20393,-0.0006,0
3/1/2018 8:00,-0.00156,-0.00083,-0.00041,2.00E-05,-0.00105,-0.00167,-0.0019,-0.0015,-9.756097561,0.848807816,4.255319149,1.368175166,4.255319149,2.229148615,3.703703704,1.670366433,3.619909502,2.026308632,3.278688525,1.912568306,3.278688525,1.912568306,3.278688525,1.912568306,-96.2962963,-96.3800905,-96.72131148,-96.72131148,-96.72131148,-0.001368239,-0.000895998,-0.000157746,-0.000174348,-24.4593871,45708.83355,8.80E-05,0.050120785,1.206672957,1.205169333,1.20366571,1.204225,1.20462,1.203305,1.204105,-0.000515,-0.000128,9.30E-05,-0.000114182,-2.54E-05,9.08E-05,1.20394,1.20432,1.20314,1.20428,0.00035,1
3/1/2018 9:00,-0.00069,-0.002,-0.00127,-0.00085,-0.00042,-0.00149,-0.00211,-0.00234,14.17624521,-3.669474593,14.17624521,1.000997644,14.17624521,1.97718812,14.17624521,1.887584781,12.80276817,1.785701299,12.58503401,1.599382923,11.67192429,1.295013015,11.67192429,1.295013015,-85.82375479,-87.19723183,-87.41496599,-88.32807571,-88.32807571,-0.001708268,-0.001733102,-0.001261034,-0.000523052,-28.9843907,39474.11742,2.43E-05,0.0539391,1.206745506,1.205127333,1.20350916,1.204115,1.20434,1.203305,1.20406,-0.00088,-0.000605,-0.000317,-0.000183394,-2.94E-05,5.96E-05,1.20429,1.20436,1.20347,1.20384,-0.00044,0
3/1/2018 10:00,-0.00213,-0.00273,-0.00404,-0.00331,-0.00289,-0.00246,-0.00353,-0.00415,-45.57823129,-13.71936121,-45.57823129,-9.048888978,-45.57823129,-9.048888978,-45.57823129,-9.232760793,-45.57823129,-9.718517875,-41.61490683,-8.583728098,-40.97859327,-8.675993486,-38.28571429,-7.778367157,-145.5782313,-145.5782313,-141.6149068,-140.9785933,-138.2857143,-0.003300768,-0.00339995,-0.003424743,-0.002953474,-55.6220867,10200.48146,-0.000140854,0.078349644,1.207240489,1.20489,1.202539511,1.20406,1.20422,1.2025,1.20282,-0.00028,-0.000576,-0.000494,-0.000184121,-3.25E-05,3.08E-05,1.20383,1.20408,1.20153,1.2018,-0.00204,0
3/1/2018 11:00,-0.00276,-0.00241,-0.00301,-0.00432,-0.00359,-0.00317,-0.00274,-0.00381,-91.01123596,-40.80440735,-55.10204082,-28.83467563,-55.10204082,-28.83467563,-55.10204082,-28.83467563,-55.10204082,-29.29250131,-55.10204082,-28.04397121,-50.31055901,-26.539076,-49.5412844,-25.3850248,-155.1020408,-155.1020408,-155.1020408,-150.310559,-149.5412844,-0.003863437,-0.003532983,-0.003632142,-0.003656929,-60.6883739,-37289.30608,-0.000290273,0.094810689,1.207440321,1.204596,1.201751679,1.20281,1.202995,1.201315,1.20166,-0.00012,-0.000248,-0.000456,-0.000187818,-4.85E-05,-2.00E-06,1.20179,1.20191,1.2011,1.20152,-0.00028,0
3/1/2018 12:00,-0.00149,-0.00193,-0.00158,-0.00218,-0.00349,-0.00276,-0.00234,-0.00191,28.97526502,-35.87140074,24.18879056,-25.49716052,18.02197802,-27.5527647,18.02197802,-27.5527647,18.02197802,-27.5527647,18.02197802,-26.23165654,18.02197802,-24.42239142,16.97722567,-23.61659101,-81.97802198,-81.97802198,-81.97802198,-81.97802198,-83.02277433,-0.002985198,-0.003175314,-0.002844632,-0.002943859,-47.1911235,-41941.3735,-0.000363539,0.098913933,1.207326751,1.204359333,1.201391915,1.20165,1.202145,1.201115,1.201935,-0.001225,-0.000751,-0.000626,-0.00028497,-0.000113323,-4.62E-05,1.20151,1.20238,1.20113,1.20235,0.00083,1
3/1/2018 13:00,0.0015,-0.00054,-0.00098,-0.00063,-0.00123,-0.00254,-0.00181,-0.00139,67.48466258,1.816230546,67.48466258,12.19047077,57.59162304,6.837186747,44.17670683,2.365548011,44.17670683,2.365548011,44.17670683,2.365548011,44.17670683,3.962708614,44.17670683,3.870882699,-55.82329317,-55.82329317,-55.82329317,-55.82329317,-55.82329317,-0.001684186,-0.002197438,-0.002387703,-0.00205676,-31.8832985,-36330.34833,-0.000367015,0.096795251,1.207097858,1.204194,1.201290142,1.20193,1.20293,1.201565,1.202825,-0.00085,-0.000811,-0.000633,-0.000371212,-0.000146293,-8.31E-05,1.20235,1.20348,1.202,1.2033,0.00095,1
3/1/2018 14:00,0.00028,0,-0.00204,-0.00248,-0.00213,-0.00273,-0.00404,-0.00331,23.48993289,39.98328683,21.47239264,37.71528193,21.47239264,32.3619979,18.32460733,26.84109739,14.0562249,25.41830325,14.0562249,25.41830325,14.0562249,25.41830325,14.0562249,25.07005247,-81.67539267,-85.9437751,-85.9437751,-85.9437751,-85.9437751,-0.002042748,-0.002928659,-0.00344127,-0.003631299,-49.7936585,-35210.95083,-0.000451679,0.097624873,1.206830746,1.203902,1.200973254,1.202825,1.20339,1.201725,1.20255,0.000785,-0.000133,-0.000346,-0.00039703,-0.000167053,-0.000107253,1.2033,1.2033,1.20145,1.2018,-0.0015,0
3/1/2018 15:00,3.00E-05,0.00086,0.00058,-0.00146,-0.0019,-0.00155,-0.00215,-0.00346,53.78151261,48.25203602,42.95302013,43.97002512,39.26380368,39.44260645,39.26380368,33.92170595,33.5078534,30.58026171,25.70281124,27.97858099,25.70281124,27.97858099,25.70281124,27.97858099,-60.73619632,-66.4921466,-74.29718876,-74.29718876,-74.29718876,-0.001917506,-0.001561125,-0.002447463,-0.002960322,-20.7397316,-34288.31105,-0.000484318,0.093084635,1.206456539,1.203664,1.200871461,1.202555,1.202895,1.20091,1.20209,0.00046,0.000527,1.00E-06,-0.000377333,-0.000193541,-0.000125818,1.20181,1.20249,1.20037,1.20238,0.00058,1
3/1/2018 16:00,-0.00029,0.00066,0.00149,0.00121,-0.00083,-0.00127,-0.00092,-0.00152,80,52.42381516,80.25210084,48.22583787,64.09395973,41.61005202,58.58895706,38.72578936,58.58895706,35.38434512,50,29.91967871,38.35341365,26.03748327,38.35341365,26.03748327,-41.41104294,-41.41104294,-50,-61.64658635,-61.64658635,-0.00174258,-0.00139455,-0.001037982,-0.001924784,-8.963291,-28088.98706,-0.00047118,0.088348684,1.206159794,1.203509333,1.200858873,1.202085,1.202875,1.20118,1.202695,-0.000495,1.50E-05,0.000208,-0.000339152,-0.000222744,-0.000133152,1.20236,1.20326,1.20199,1.20301,0.00063,1
3/1/2018 17:00,0.00093,-0.00057,0.00038,0.00121,0.00093,-0.00111,-0.00155,-0.0012,75.88424437,69.88858566,75.88424437,66.36312178,75.88424437,59.74733593,63.61185984,53.82154019,59.14786967,50.41489338,59.14786967,44.95022697,51.86813187,38.64145226,41.33099825,35.12907438,-36.38814016,-40.85213033,-40.85213033,-48.13186813,-58.66900175,-0.002579115,-0.001974923,-0.001626975,-0.00127049,-12.3810726,-23549.86473,-0.000472644,0.088146871,1.206051739,1.203407333,1.200762927,1.202685,1.203225,1.202215,1.20287,-2.00E-05,-0.000147,7.70E-05,-0.000208364,-0.000225534,-0.000126236,1.20301,1.20319,1.20244,1.20273,-0.00028,0
